year,month,days,km,join_behind
2013,11,25,715,
2013,12,20,524,
2014,1,26,702,
2014,2,19,666,
2014,3,26,859,
2014,4,28,1113,
2014,5,26,1190,
2014,6,26,1371,
2014,7,29,1336,
2014,8,27,1050,
2014,9,27,1210,
2014,10,27,1168,
2014,11,16,436,
2014,12,12,280,
2015,1,9,241,
2015,2,21,62,
2015,3,30,628,
2015,4,29,1160,
2015,5,29,1538,
2015,6,28,1339,
2015,7,30,1753,
2015,8,30,1550,
2015,9,29,1122,
2015,10,25,1016,
2015,11,27,1110,
2015,12,13,427,
2016,1,31,885,
2016,2,29,847,
2016,3,31,876,
2016,4,30,1055,
2016,5,30,1513,
2016,6,27,1363,
2016,7,31,1535,
2016,8,24,1318,
2016,9,30,1570,
2016,10,30,1024,
2016,11,30,813,
2016,12,31,731,
2017,1,30,854,
2017,2,28,1042,
2017,3,31,1409,
2017,4,29,1120,
2017,5,31,1542,
2017,6,29,1710,
2017,7,28,1350,
2017,8,26,1479,
2017,9,26,1126,
2017,10,29,1325,
2017,11,27,1180,
2017,12,29,1205,
2018,1,30,1316,
2018,2,25,874,
2018,3,21,701,
2018,4,27,1312,
2018,5,27,1644,
2018,6,26,1530,
2018,7,28,1464,
2018,8,29,2432,
2018,9,29,1886,
2018,10,28,1832,
2018,11,30,1620,
2018,12,29,1642,
2019,1,31,1420,
2019,2,26,1330,
2019,3,31,1374,
2019,4,28,1175,
2019,5,31,1523,
2019,6,30,2257,
2019,7,30,1881,
2019,8,29,2250,
2019,9,30,1625,
2019,10,28,1502,
2019,11,29,1312,
2019,12,31,1588,
2020,1,24,1145,
2020,2,29,1406,
2020,3,31,1724,
2020,4,30,2324,
2020,5,31,3340,
2020,6,30,1732,
2020,7,30,2288,
2020,8,30,2422,
2020,9,30,2211,
2020,10,31,1811,
2020,11,30,1636,
2020,12,31,1611,
2021,1,31,1830,
2021,2,28,1526,
2021,3,31,1505,
2021,4,30,1508,
2021,5,31,1692,
2021,6,30,1650,
